RUN	simulations.FixedDurationLoadSimulation	fixeddurationloadsimulation	1586359615487	 	3.3.1
REQUEST	57		Get all video games	1586359649545	1586359649550	OK	 
REQUEST	49		Get specific game	1586359649576	1586359649580	OK	 
REQUEST	32		Get specific game	1586359649597	1586359649602	OK	 
REQUEST	24		Get all video games	1586359649608	1586359649612	OK	 
REQUEST	24		Get all video games	1586359649612	1586359649616	OK	 
USER	Fixed Duration Load Simulation	58	START	1586359650043	1586359650043
REQUEST	58		Get all video games	1586359650044	1586359650051	OK	 
REQUEST	50		Get specific game	1586359650074	1586359650077	OK	 
REQUEST	41		Get all video games	1586359650084	1586359650087	OK	 
REQUEST	33		Get specific game	1586359650084	1586359650087	OK	 
REQUEST	41		Get all video games	1586359650088	1586359650091	OK	 
REQUEST	25		Get all video games	1586359650095	1586359650098	OK	 
REQUEST	25		Get all video games	1586359650099	1586359650103	OK	 
REQUEST	16		Get specific game	1586359650106	1586359650109	OK	 
USER	Fixed Duration Load Simulation	59	START	1586359650558	1586359650558
REQUEST	59		Get all video games	1586359650559	1586359650565	OK	 
REQUEST	42		Get all video games	1586359650574	1586359650578	OK	 
REQUEST	42		Get all video games	1586359650578	1586359650582	OK	 
REQUEST	34		Get specific game	1586359650584	1586359650588	OK	 
REQUEST	17		Get specific game	1586359650605	1586359650608	OK	 
USER	Fixed Duration Load Simulation	60	START	1586359651054	1586359651054
REQUEST	60		Get all video games	1586359651055	1586359651062	OK	 
REQUEST	51		Get specific game	1586359651075	1586359651079	OK	 
REQUEST	43		Get all video games	1586359651075	1586359651080	OK	 
REQUEST	43		Get all video games	1586359651080	1586359651083	OK	 
REQUEST	35		Get specific game	1586359651096	1586359651100	OK	 
REQUEST	26		Get all video games	1586359651096	1586359651100	OK	 
REQUEST	26		Get all video games	1586359651101	1586359651105	OK	 
REQUEST	18		Get specific game	1586359651107	1586359651110	OK	 
REQUEST	52		Get specific game	1586359651573	1586359651578	OK	 
REQUEST	44		Get all video games	1586359651594	1586359651598	OK	 
REQUEST	44		Get all video games	1586359651599	1586359651603	OK	 
REQUEST	19		Get specific game	1586359651605	1586359651610	OK	 
REQUEST	27		Get all video games	1586359651605	1586359651610	OK	 
REQUEST	27		Get all video games	1586359651611	1586359651615	OK	 
REQUEST	36		Get specific game	1586359652078	1586359652089	OK	 
REQUEST	53		Get specific game	1586359652078	1586359652089	OK	 
REQUEST	45		Get all video games	1586359652088	1586359652093	OK	 
REQUEST	45		Get all video games	1586359652094	1586359652098	OK	 
REQUEST	28		Get all video games	1586359652098	1586359652104	OK	 
REQUEST	28		Get all video games	1586359652105	1586359652117	OK	 
REQUEST	20		Get specific game	1586359652110	1586359652116	OK	 
REQUEST	54		Get specific game	1586359652574	1586359652578	OK	 
REQUEST	37		Get specific game	1586359652596	1586359652601	OK	 
REQUEST	29		Get all video games	1586359652596	1586359652601	OK	 
REQUEST	29		Get all video games	1586359652601	1586359652605	OK	 
REQUEST	11		Get all video games	1586359652617	1586359652621	OK	 
REQUEST	11		Get all video games	1586359652621	1586359652625	OK	 
REQUEST	1		Get all video games	1586359652659	1586359652663	OK	 
REQUEST	1		Get all video games	1586359652664	1586359652667	OK	 
REQUEST	10		Get all video games	1586359652777	1586359652781	OK	 
REQUEST	10		Get all video games	1586359652782	1586359652786	OK	 
REQUEST	5		Get all video games	1586359652829	1586359652833	OK	 
REQUEST	5		Get all video games	1586359652833	1586359652836	OK	 
REQUEST	8		Get all video games	1586359652875	1586359652880	OK	 
REQUEST	2		Get all video games	1586359652875	1586359652880	OK	 
REQUEST	2		Get all video games	1586359652881	1586359652885	OK	 
REQUEST	8		Get all video games	1586359652881	1586359652886	OK	 
REQUEST	55		Get specific game	1586359653074	1586359653078	OK	 
REQUEST	46		Get all video games	1586359653084	1586359653087	OK	 
REQUEST	38		Get specific game	1586359653084	1586359653088	OK	 
REQUEST	46		Get all video games	1586359653088	1586359653090	OK	 
REQUEST	30		Get all video games	1586359653094	1586359653097	OK	 
REQUEST	30		Get all video games	1586359653097	1586359653100	OK	 
REQUEST	21		Get specific game	1586359653105	1586359653109	OK	 
REQUEST	6		Get all video games	1586359653203	1586359653208	OK	 
REQUEST	6		Get all video games	1586359653208	1586359653212	OK	 
REQUEST	3		Get all video games	1586359653214	1586359653217	OK	 
REQUEST	3		Get all video games	1586359653218	1586359653221	OK	 
REQUEST	7		Get all video games	1586359653225	1586359653228	OK	 
REQUEST	7		Get all video games	1586359653229	1586359653231	OK	 
REQUEST	4		Get all video games	1586359653235	1586359653239	OK	 
REQUEST	4		Get all video games	1586359653239	1586359653243	OK	 
REQUEST	9		Get all video games	1586359653246	1586359653249	OK	 
REQUEST	9		Get all video games	1586359653249	1586359653252	OK	 
REQUEST	13		Get all video games	1586359653256	1586359653259	OK	 
REQUEST	12		Get all video games	1586359653256	1586359653260	OK	 
REQUEST	13		Get all video games	1586359653260	1586359653263	OK	 
REQUEST	12		Get all video games	1586359653260	1586359653264	OK	 
REQUEST	47		Get all video games	1586359653565	1586359653568	OK	 
REQUEST	47		Get all video games	1586359653568	1586359653571	OK	 
REQUEST	39		Get specific game	1586359653586	1586359653590	OK	 
REQUEST	22		Get specific game	1586359653586	1586359653590	OK	 
REQUEST	14		Get all video games	1586359653695	1586359653699	OK	 
REQUEST	14		Get all video games	1586359653700	1586359653703	OK	 
REQUEST	48		Get all video games	1586359654078	1586359654084	OK	 
